Feature,Importance,Percentage,Cumulative_Percentage
cook_temp,0.31185314,31.19%,31.19%
color_final,0.17373796,17.37%,48.56%
color,0.13353147,13.35%,61.91%
cook_temp_time_interaction,0.11521617,11.52%,73.43%
diameter,0.111655295,11.17%,84.60%
cook_time,0.078238115,7.82%,92.42%
thickness,0.038826864,3.88%,96.31%
moisture_2,0.015970336,1.60%,97.90%
moisture,0.013516344,1.35%,99.25%
final_moisture,0.0044969637,0.45%,99.70%
drying_time_2,0.0015844511,0.16%,99.86%
sugar,0.001372896,0.14%,100.00%
drying_temp_2,0.0,0.00%,100.00%
coating_flow,0.0,0.00%,100.00%
flaking_rolls_speed,0.0,0.00%,100.00%
flaking_rolls_gap,0.0,0.00%,100.00%
drying_speed_1,0.0,0.00%,100.00%
drying_time_1,0.0,0.00%,100.00%
drying_temp_1,0.0,0.00%,100.00%
cooker_speed,0.0,0.00%,100.00%
conveyor_speed,0.0,0.00%,100.00%
drying_speed_2,0.0,0.00%,100.00%
vitamins,0.0,0.00%,100.00%
drying_temp_time_interaction_1,0.0,0.00%,100.00%
drying_temp_time_interaction_2,0.0,0.00%,100.00%
flaking_interaction,0.0,0.00%,100.00%
coating_interaction,0.0,0.00%,100.00%
