Feature,Importance,Percentage,Cumulative_Percentage
cook_temp,0.4694278,46.94%,46.94%
cook_temp_time_interaction,0.17260791,17.26%,64.20%
diameter,0.15330963,15.33%,79.53%
cook_time,0.052102584,5.21%,84.74%
thickness,0.048517384,4.85%,89.60%
color_final,0.0140823545,1.41%,91.00%
moisture,0.01277843,1.28%,92.28%
moisture_2,0.009117131,0.91%,93.19%
color,0.006563563,0.66%,93.85%
final_moisture,0.006559503,0.66%,94.51%
drying_speed_1,0.005797925,0.58%,95.09%
drying_speed_2,0.0049362946,0.49%,95.58%
cooker_speed,0.0034385594,0.34%,95.92%
drying_temp_time_interaction_2,0.0032467332,0.32%,96.25%
vitamins,0.003044127,0.30%,96.55%
coating_interaction,0.0029622419,0.30%,96.85%
drying_temp_1,0.0029518716,0.30%,97.14%
drying_temp_2,0.0029489396,0.29%,97.44%
drying_temp_time_interaction_1,0.0029385572,0.29%,97.73%
sugar,0.0029334268,0.29%,98.03%
flaking_interaction,0.002914594,0.29%,98.32%
flaking_rolls_gap,0.0029078396,0.29%,98.61%
drying_time_1,0.0028927925,0.29%,98.90%
drying_time_2,0.0028837326,0.29%,99.19%
coating_flow,0.0027203285,0.27%,99.46%
flaking_rolls_speed,0.002708869,0.27%,99.73%
conveyor_speed,0.0027068122,0.27%,100.00%
