Feature,Importance,Percentage,Cumulative_Percentage
drying_speed_2,0.17799962,17.80%,17.80%
drying_speed_1,0.16866381,16.87%,34.67%
cooker_speed,0.079622254,7.96%,42.63%
moisture_2,0.039186984,3.92%,46.55%
moisture,0.03673622,3.67%,50.22%
cook_temp_time_interaction,0.02413933,2.41%,52.63%
flaking_rolls_gap,0.024092846,2.41%,55.04%
drying_temp_time_interaction_1,0.023503589,2.35%,57.39%
drying_temp_2,0.023306428,2.33%,59.73%
sugar,0.023234852,2.32%,62.05%
color_final,0.023059644,2.31%,64.35%
diameter,0.023044584,2.30%,66.66%
flaking_rolls_speed,0.023004834,2.30%,68.96%
color,0.02294488,2.29%,71.25%
coating_flow,0.022681292,2.27%,73.52%
flaking_interaction,0.022603562,2.26%,75.78%
drying_temp_1,0.022437982,2.24%,78.03%
final_moisture,0.02231505,2.23%,80.26%
coating_interaction,0.022287788,2.23%,82.49%
thickness,0.022269243,2.23%,84.71%
drying_time_1,0.022250501,2.23%,86.94%
cook_temp,0.02216856,2.22%,89.16%
drying_temp_time_interaction_2,0.022113066,2.21%,91.37%
vitamins,0.021728747,2.17%,93.54%
drying_time_2,0.02169069,2.17%,95.71%
conveyor_speed,0.021567533,2.16%,97.87%
cook_time,0.02134614,2.13%,100.00%
