Feature,Importance,Percentage,Cumulative_Percentage
cook_temp,0.4278123,42.78%,42.78%
diameter,0.12060784,12.06%,54.84%
cook_temp_time_interaction,0.11883229,11.88%,66.73%
cook_time,0.073086336,7.31%,74.03%
color,0.051408183,5.14%,79.17%
thickness,0.031027509,3.10%,82.28%
color_final,0.017524358,1.75%,84.03%
moisture_2,0.013856151,1.39%,85.42%
moisture,0.012555653,1.26%,86.67%
flaking_rolls_speed,0.010989305,1.10%,87.77%
flaking_interaction,0.009286439,0.93%,88.70%
drying_temp_time_interaction_1,0.009153498,0.92%,89.61%
final_moisture,0.008689546,0.87%,90.48%
drying_temp_1,0.008207621,0.82%,91.30%
vitamins,0.008132757,0.81%,92.12%
drying_time_1,0.0078120325,0.78%,92.90%
sugar,0.0076786983,0.77%,93.67%
drying_speed_1,0.007586578,0.76%,94.42%
drying_temp_2,0.0072290907,0.72%,95.15%
conveyor_speed,0.007223597,0.72%,95.87%
drying_temp_time_interaction_2,0.0066879787,0.67%,96.54%
drying_time_2,0.00627335,0.63%,97.17%
drying_speed_2,0.0062004807,0.62%,97.79%
coating_interaction,0.005966263,0.60%,98.38%
flaking_rolls_gap,0.0058735716,0.59%,98.97%
cooker_speed,0.005573235,0.56%,99.53%
coating_flow,0.0047253403,0.47%,100.00%
