Feature,Importance,Percentage,Cumulative_Percentage
drying_speed_2,0.19698413,19.70%,19.70%
drying_speed_1,0.18476498,18.48%,38.17%
cooker_speed,0.083510116,8.35%,46.53%
moisture,0.037038427,3.70%,50.23%
moisture_2,0.03580822,3.58%,53.81%
drying_temp_time_interaction_1,0.02408375,2.41%,56.22%
color_final,0.022930056,2.29%,58.51%
vitamins,0.022747517,2.27%,60.79%
cook_temp,0.022649013,2.26%,63.05%
flaking_rolls_gap,0.022556102,2.26%,65.31%
cook_temp_time_interaction,0.021863455,2.19%,67.49%
coating_interaction,0.021782767,2.18%,69.67%
sugar,0.021515695,2.15%,71.82%
drying_temp_1,0.021470223,2.15%,73.97%
thickness,0.021110622,2.11%,76.08%
diameter,0.02102882,2.10%,78.18%
color,0.021028467,2.10%,80.29%
drying_time_1,0.021006918,2.10%,82.39%
coating_flow,0.02068938,2.07%,84.46%
drying_temp_2,0.020616697,2.06%,86.52%
cook_time,0.02054137,2.05%,88.57%
flaking_rolls_speed,0.020425294,2.04%,90.62%
flaking_interaction,0.019668432,1.97%,92.58%
final_moisture,0.01934334,1.93%,94.52%
drying_temp_time_interaction_2,0.019228674,1.92%,96.44%
conveyor_speed,0.018753212,1.88%,98.31%
drying_time_2,0.01685435,1.69%,100.00%
